date,temp,pres,bat,signal
2021-Apr-17 05:57,12.08,101.605,4.081,-89
2021-Apr-17 05:58,12.08,101.605,4.081,-89
2021-Apr-17 06:11,12.08,101.605,4.081,-89
2021-Apr-17 06:12,12.08,101.605,4.081,-89
2021-Apr-17 06:14,12.08,101.605,4.081,-89
2021-Apr-17 06:21,12.08,101.605,4.081,-89
2021-Apr-17 06:25,12.08,101.605,4.081,-89
2021-Apr-17 06:42,11.83,101.612,4.086,-88
2021-Apr-17 07:42,12.62,101.634,4.085,-90
2021-Apr-17 08:42,15.85,101.668,4.086,-84
2021-Apr-17 09:42,20.06,101.67,4.083,-84
2021-Apr-17 10:42,25.98,101.649,4.084,-84
