date,hour,latitude,longitude,count
Mon Mar 15 2021,09:16,-37.680302,145.053955,5
Mon Mar 15 2021,09:21,-37.680344,145.053528,9
Mon Mar 15 2021,09:26,-37.68029,145.053741,15
Mon Mar 15 2021,09:31,-37.67979,145.053925,33
Mon Mar 15 2021,09:36,-37.679585,145.053497,45
Tue Mar 16 2021,20:15,-37.679676,145.053452,5
Tue Mar 16 2021,20:20,-37.68084,145.053955,21
Tue Mar 16 2021,20:25,-37.679905,145.053452,32
Tue Mar 16 2021,20:30,-37.679367,145.051239,38
Tue Mar 16 2021,20:35,-37.678516,145.050491,60
Wed Mar 17 2021,08:44,-37.681946,145.076096,7
Wed Mar 17 2021,08:59,-37.682171,145.076065,8
Wed Mar 17 2021,10:31,-37.678692,145.054047,27
Wed Mar 17 2021,10:36,-37.678425,145.054092,63
Wed Mar 17 2021,10:41,-37.678829,145.053894,78
Wed Mar 17 2021,19:39,-37.677696,145.048599,2
Wed Mar 17 2021,19:44,-37.67881,145.050781,13
Wed Mar 17 2021,19:49,-37.679958,145.053497,33
Wed Mar 17 2021,19:54,-37.680218,145.05394,51
Wed Mar 17 2021,19:59,-37.68021,145.053513,67
Wed Mar 17 2021,20:04,-37.68084,145.053787,79
Wed Mar 17 2021,20:09,-37.680962,145.055511,94
Wed Mar 17 2021,20:14,-37.679066,145.054153,101
Wed Mar 17 2021,20:19,-37.678604,145.050522,106
Fri Mar 26 2021,09:34,-37.680046,145.053513,3
Fri Mar 26 2021,09:39,-37.68047,145.053986,15
Fri Mar 26 2021,09:44,-37.67968,145.054199,21
Fri Mar 26 2021,09:49,-37.679573,145.054001,37
Fri Mar 26 2021,09:54,-37.67976,145.053772,51
Fri Mar 26 2021,09:59,-37.679699,145.05368,78
Fri Mar 26 2021,10:04,-37.679165,145.054092,89
Fri Mar 26 2021,10:09,-37.679813,145.05365,103
Fri Mar 26 2021,10:14,-37.680649,145.053848,106
Fri Mar 26 2021,10:19,-37.68066,145.05397,131
Fri Mar 26 2021,10:24,-37.680534,145.054153,138
Fri Mar 26 2021,10:29,-37.679989,145.054306,141
Fri Mar 26 2021,10:39,-37.679314,145.053879,143
Tue Mar 30 2021,09:56,-37.679428,145.053513,3
Tue Mar 30 2021,10:01,-37.67942,145.053558,18
Thu Apr 15 2021,09:22,-37.681076,145.053741,42
Thu Apr 15 2021,09:27,-37.680649,145.053955,67
Thu Apr 15 2021,09:32,-37.680035,145.054062,88
Thu Apr 15 2021,09:37,-37.680351,145.053711,96
Thu Apr 15 2021,09:42,-37.679813,145.053726,122
Thu Apr 15 2021,09:47,-37.680004,145.05426,141
Thu Apr 15 2021,09:57,-37.679592,145.054459,159
Thu Apr 15 2021,10:02,-37.680786,145.054199,183
Thu Apr 15 2021,10:07,-37.680275,145.053436,194
Thu Apr 15 2021,10:12,-37.680248,145.053513,197
Thu Apr 15 2021,10:42,-37.679741,145.053467,201
Thu Apr 15 2021,11:20,-37.680225,145.053497,3
Thu Apr 15 2021,11:30,-37.680305,145.053665,7
Thu Apr 15 2021,11:35,-37.679813,145.054123,24
Thu Apr 15 2021,11:40,-37.680199,145.053574,34
Thu Apr 15 2021,11:45,-37.680527,145.053802,48
Thu Apr 15 2021,11:50,-37.680927,145.053909,54
Thu Apr 15 2021,11:55,-37.679905,145.054153,64
Thu Apr 15 2021,12:00,-37.679485,145.054123,92
Thu Apr 15 2021,12:05,-37.679802,145.053574,110
Thu Apr 15 2021,12:10,-37.680569,145.053421,111
Thu Apr 15 2021,12:20,-37.680504,145.053711,119
Thu Apr 15 2021,12:25,-37.680546,145.053696,120
