date,depth,bat,signal
2021-Apr-17 06:06,0.713,3.924,-134
2021-Apr-17 06:08,0.713,3.924,-134
2021-Apr-17 06:11,0.713,3.924,-134
2021-Apr-17 06:12,0.713,3.924,-134
2021-Apr-17 06:14,0.713,3.924,-134
2021-Apr-17 06:21,0.713,3.924,-134
2021-Apr-17 06:25,0.713,3.924,-134
2021-Apr-17 06:42,0.713,3.924,-134
2021-Apr-17 06:42,0.713,3.924,-134
2021-Apr-17 07:42,0.713,3.918,-130
2021-Apr-17 08:42,0.713,3.918,-130
2021-Apr-17 09:42,0.71,3.929,-121
2021-Apr-17 10:42,0.71,3.932,-130
2021-Apr-17 11:42,0.709,3.933,-131
2021-Apr-17 12:42,0.707,3.932,-130
2021-Apr-17 13:42,0.704,3.934,-132
2021-Apr-17 14:42,0.705,3.932,-119
2021-Apr-17 15:42,0.702,3.934,-131
2021-Apr-17 16:42,0.702,3.934,-131
2021-Apr-17 17:42,0.701,3.937,-133
2021-Apr-17 18:42,0.697,3.93,-88
2021-Apr-17 19:42,0.697,3.93,-88
2021-Apr-17 20:42,0.699,3.924,-129
2021-Apr-17 21:42,0.699,3.924,-129
2021-Apr-17 22:42,0.699,3.924,-129
2021-Apr-17 23:42,0.697,3.922,-127
2021-Apr-18 00:42,0.697,3.922,-129
2021-Apr-18 01:42,0.697,3.922,-129
2021-Apr-18 02:42,0.696,3.923,-111
2021-Apr-18 03:42,0.697,3.923,-133
2021-Apr-18 04:42,0.697,3.923,-133
2021-Apr-18 05:42,0.697,3.923,-133
2021-Apr-18 06:42,0.695,3.924,-129
2021-Apr-18 07:26,0.695,3.924,-129
2021-Apr-18 07:30,0.695,3.924,-129
2021-Apr-18 08:30,0.695,3.924,-129
2021-Apr-18 08:41,0.695,3.924,-129
2021-Apr-18 09:05,0.695,3.924,-129
2021-Apr-18 10:05,0.693,3.934,-111
2021-Apr-18 11:05,0.693,3.93,-108
2021-Apr-18 12:05,0.693,3.93,-108
2021-Apr-18 13:05,0.692,3.933,-132
2021-Apr-18 14:05,0.692,3.933,-132
2021-Apr-18 15:05,0.689,3.931,-109
2021-Apr-18 16:05,0.691,3.935,-131
2021-Apr-18 17:05,0.691,3.935,-131
2021-Apr-18 17:27,0.691,3.935,-131
2021-Apr-18 18:27,0.691,3.935,-131
2021-Apr-18 19:27,0.691,3.935,-131
2021-Apr-18 20:27,0.691,3.935,-131
2021-Apr-18 21:27,0.691,3.935,-131
2021-Apr-18 22:27,0.691,3.935,-131
